#H_Fe	err_H_Fe	B[mT]	err_B[mT]
-428.6030501	9.8064469	-52.5	1.575
-450.3055873	12.0680322	-70.5	2.115
-458.3369999	13.9958073	-86	2.58
-475.9943023	15.9133145	-100.5	3.015
-486.0778608	17.6098671	-113.5	3.405
-517.5982153	19.8430441	-129.5	3.885
-551.4955138	22.6087357	-149.5	4.485
-587.7697563	25.9126519	-173.5	5.205
-627.1886528	29.2457078	-197.5	5.925
-601.2046531	30.7183204	-210	6.3
-591.9035614	31.6447091	-217.5	6.525
-598.7095952	32.400346	-223	6.69
-640.6235496	34.0662856	-234	7.02
-710.0126238	37.5152851	-257.5	7.725
-806.8768177	42.7469187	-293.5	8.805
-899.8286474	48.4794741	-333.5	10.005
-990.9202587	54.3987753	-375	11.25
-1031.180679	59.3282079	-411	12.33
-1044.157907	62.3490762	-433.5	13.005
-1085.437022	65.5185663	-456	13.68
-1168.113366	69.6243412	-484	14.52
-1250.021999	74.2518425	-516	15.48
-1306.256675	78.02393	-542.5	16.275
-1352.156807	81.2829099	-565.5	16.965
-1416.924864	84.6393044	-588.5	17.655
-1449.537726	87.2384407	-607	18.21
-1521.170874	90.2362889	-627	18.81
-1620.338198	93.9040552	-651	19.53
-1710.07156	97.5241621	-675	20.25
-1805.710375	101.4389261	-701	21.03
-1886.39363	104.7510234	-723	21.69
-1964.124158	107.9171147	-744	22.32
-2070.156573	111.2380004	-765	22.95
-2220.730871	115.5260558	-791.5	23.745
-2406.413089	120.7352338	-823.5	24.705
-2544.408771	124.9658814	-850	25.5
-2665.780601	128.6501287	-873	26.19
-2775.533453	131.6216785	-891	26.73
-2869.946889	134.2470209	-907	27.21
-2902.810736	135.6049964	-916	27.48
-2922.387314	136.3025557	-920.5	27.615
-2929.769131	136.6694639	-923	27.69
-2932.721857	136.8162272	-924	27.72
-2941.963892	137.0001428	-925	27.75
-2935.674584	136.9629907	-925	27.75
-2940.295601	137.0549432	-925.5	27.765
-2945.108546	137.0187335	-925	27.75
-2943.440255	137.0735238	-925.5	27.765
