#H err_H B err_B
-0.0016935000 0.0000508000 -1366870.6597715698 11510.0576128339
-0.0016950000 0.0000508000 -1368967.0908253975 11527.5648046783
-0.0017055000 0.0000512000 -1373159.9279086909 11562.5796434812
-0.0017130000 0.0000514000 -1379449.2110604295 11615.1037766078
-0.0017205000 0.0000516000 -1383642.0581534677 11650.1208809026
-0.0017310000 0.0000519000 -1388883.1132661114 11693.8934370587
-0.0017430000 0.0000523000 -1396220.5994325827 11755.1773173676
-0.0017520000 0.0000526000 -1401461.6595500987 11798.9530759174
-0.0017610000 0.0000528000 -1406702.7196676147 11842.7301265747
-0.0017685000 0.0000531000 -1412992.0028193532 11895.2643648289
-0.0017775000 0.0000533000 -1418233.0629368692 11939.0442081781
-0.0017850000 0.0000535000 -1423474.1280592575 11982.8253404890
-0.0017925000 0.0000538000 -1427666.9751522958 12017.8510933380
-0.0017955000 0.0000539000 -1430811.6192306012 12044.1209950662
-0.0018000000 0.0000540000 -1432908.0402746843 12061.6344363481
-0.0018075000 0.0000542000 -1438149.1053970726 12105.4189888774
-0.0018150000 0.0000544000 -1442341.9524901109 12140.4474511562
-0.0018225000 0.0000547000 -1447583.0176124994 12184.2341479963
-0.0018300000 0.0000549000 -1451775.8647055377 12219.2643090927
-0.0018405000 0.0000552000 -1455968.7017888310 12254.2951310891
-0.0018420000 0.0000553000 -1459113.3508720091 12280.5689100256
-0.0018390000 0.0000552000 -1460161.5789111040 12289.3270256973
-0.0018405000 0.0000552000 -1460161.5739062314 12289.3269838869
-0.0018405000 0.0000552000 -1460161.5739062314 12289.3269838869
-0.0018405000 0.0000552000 -1461209.7919355817 12298.0850616841
-0.0018405000 0.0000552000 -1461209.7919355817 12298.0850616841
-0.0018420000 0.0000553000 -1460161.5689013591 12289.3269420816
-0.0018390000 0.0000552000 -1461209.7969404540 12298.0851034947
-0.0018405000 0.0000552000 -1461209.7919355817 12298.0850616841
-0.0018405000 0.0000552000 -1461209.7919355817 12298.0850616841
-0.0018405000 0.0000552000 -1461209.7919355817 12298.0850616841
-0.0018390000 0.0000552000 -1460161.5789111040 12289.3270256973
-0.0018405000 0.0000552000 -1460161.5739062314 12289.3269838869
-0.0018390000 0.0000552000 -1461209.7969404540 12298.0851034947
-0.0018405000 0.0000552000 -1460161.5739062314 12289.3269838869
-0.0018405000 0.0000552000 -1461209.7919355817 12298.0850616841
-0.0018405000 0.0000552000 -1461209.7919355817 12298.0850616841
-0.0018390000 0.0000552000 -1461209.7969404540 12298.0851034947
-0.0018390000 0.0000552000 -1461209.7969404540 12298.0851034947
-0.0018390000 0.0000552000 -1461209.7969404540 12298.0851034947
-0.0018420000 0.0000553000 -1461209.7869307091 12298.0850198785
-0.0018405000 0.0000552000 -1461209.7919355817 12298.0850616841
-0.0018390000 0.0000552000 -1461209.7969404540 12298.0851034947
-0.0018420000 0.0000553000 -1461209.7869307091 12298.0850198785
-0.0018390000 0.0000552000 -1460161.5789111040 12289.3270256973
-0.0018405000 0.0000552000 -1461209.7919355817 12298.0850616841
-0.0018405000 0.0000552000 -1460161.5739062314 12289.3269838869
-0.0018390000 0.0000552000 -1461209.7969404540 12298.0851034947
-0.0018390000 0.0000552000 -1461209.7969404540 12298.0851034947
-0.0018405000 0.0000552000 -1460161.5739062314 12289.3269838869
-0.0018375000 0.0000551000 -1460161.5839159763 12289.3270675027
-0.0018420000 0.0000553000 -1461209.7869307091 12298.0850198785
-0.0018480000 0.0000554000 -1462257.9849405696 12306.8429760805
-0.0018510000 0.0000555000 -1466450.8470482251 12341.8758407098
-0.0018615000 0.0000558000 -1470643.6841315187 12376.9092188361
-0.0018735000 0.0000562000 -1475884.7342392898 12420.7019796143
-0.0018885000 0.0000567000 -1484270.4284253663 12490.7728129345
-0.0019140000 0.0000574000 -1497897.1777240864 12604.6438115695
-0.0019245000 0.0000577000 -1506282.8869247804 12674.7219906165
-0.0019320000 0.0000580000 -1511523.9520471687 12718.5221842765
-0.0019380000 0.0000581000 -1515716.8041450796 12753.5630824757
-0.0019410000 0.0000582000 -1517813.2301940348 12771.0837774679
-0.0019575000 0.0000587000 -1525150.7013458889 12832.4073221221
-0.0019755000 0.0000593000 -1535632.8215809208 12920.0159492867
-0.0019905000 0.0000597000 -1545066.7337963476 12998.8671152058
-0.0020040000 0.0000601000 -1551355.9969285964 13051.4362044543
-0.0020160000 0.0000605000 -1557645.2650657175 13104.0067102639
-0.0020370000 0.0000611000 -1570223.8113497049 13209.1518640825
-0.0020475000 0.0000614000 -1577561.3025210486 13270.4890437115
-0.0020505000 0.0000615000 -1580705.9465993540 13296.7769945878
-0.0020535000 0.0000616000 -1582802.3726483095 13314.3024479631
-0.0020565000 0.0000617000 -1584898.7986972649 13331.8280452153
-0.0020565000 0.0000617000 -1586995.2347559652 13349.3538694397
-0.0020580000 0.0000617000 -1586995.2297510926 13349.3538276061
-0.0020595000 0.0000618000 -1586995.2247462203 13349.3537857777
-0.0020595000 0.0000618000 -1588043.4427755703 13358.1167514551
-0.0020580000 0.0000617000 -1588043.4477804429 13358.1167932837
-0.0020565000 0.0000617000 -1586995.2347559652 13349.3538694397
-0.0020565000 0.0000617000 -1588043.4527853152 13358.1168351175
-0.0020595000 0.0000618000 -1588043.4427755703 13358.1167514551
-0.0020565000 0.0000617000 -1588043.4527853152 13358.1168351175
-0.0020595000 0.0000618000 -1588043.4427755703 13358.1167514551
-0.0020580000 0.0000617000 -1588043.4477804429 13358.1167932837
-0.0020595000 0.0000618000 -1588043.4427755703 13358.1167514551
-0.0020580000 0.0000617000 -1586995.2297510926 13349.3538276061
-0.0020610000 0.0000618000 -1588043.4377706980 13358.1167096214
-0.0020580000 0.0000617000 -1588043.4477804429 13358.1167932837
-0.0020565000 0.0000617000 -1588043.4527853152 13358.1168351175
-0.0020580000 0.0000617000 -1588043.4477804429 13358.1167932837
-0.0020580000 0.0000617000 -1588043.4477804429 13358.1167932837
-0.0020580000 0.0000617000 -1588043.4477804429 13358.1167932837
-0.0020595000 0.0000618000 -1589091.6608049204 13366.8797527493
-0.0020580000 0.0000617000 -1588043.4477804429 13358.1167932837
-0.0020595000 0.0000618000 -1588043.4427755703 13358.1167514551
