B I
-1,1895 -571,5
-1,182 -568
-1,1745 -565,5
-1,1655 -562,5
-1,1535 -559
-1,137 -554
-1,1265 -550,5
-1,1205 -547,5
-1,1085 -544
-1,1055 -542
-1,0995 -540
-1,092 -538
-1,083 -535
-1,074 -532,5
-1,062 -528
-1,0575 -526
-1,053 -524
-1,0455 -522
-1,041 -519,5
-1,035 -518
-1,0275 -515,5
-1,0185 -512,5
-1,011 -510,5
-0,993 -505,5
-0,981 -500
-0,9705 -496,5
-0,969 -494,5
-0,9645 -493
-0,9375 -486,5
-0,9195 -479,5
-0,912 -475,5
-0,909 -473,5
-0,9045 -471,5
-0,9 -469,5
-0,897 -468
-0,8925 -466
-0,879 -463,5
-0,867 -458,5
-0,861 -455,5
-0,849 -452,5
-0,8355 -447,5
-0,816 -441,5
-0,7995 -434,5
-0,783 -428,5
-0,7725 -425
-0,756 -419
-0,7515 -415,5
-0,741 -412
-0,7275 -406,5
-0,723 -404
-0,7125 -399
-0,696 -394
-0,681 -388
-0,666 -382,5
-0,6435 -374,5
-0,6345 -369
-0,624 -364,5
-0,615 -360,5
-0,6015 -356
-0,5925 -351,5
-0,5835 -348
-0,5715 -343
-0,5595 -337,5
-0,5475 -332,5
-0,5415 -329,5
-0,531 -324,5
-0,5235 -321
-0,5145 -317
-0,4995 -311,5
-0,4935 -308
-0,4845 -303,5
-0,474 -299
-0,465 -294,5
-0,45 -288,5
-0,4425 -284
-0,429 -278,5
-0,408 -270
-0,4005 -265
-0,3945 -261,5
-0,387 -258
-0,378 -254
-0,3735 -251,5
-0,3615 -246
-0,357 -242,5
-0,345 -239
-0,336 -234
-0,327 -229
-0,3165 -224,5
-0,3075 -221
-0,297 -215
-0,2835 -209,5
-0,279 -205,5
-0,267 -200,5
-0,2625 -196,5
-0,255 -193,5
-0,2505 -191
-0,243 -187
-0,234 -183,5
-0,225 -178,5
-0,21 -172,5
-0,201 -167
-0,192 -163
-0,189 -160
-0,183 -157
-0,1785 -154
-0,1755 -152
-0,1725 -151
-0,1695 -149,5
-0,168 -148
-0,162 -146
-0,1575 -143,5
-0,15 -140,5
-0,1485 -138
-0,144 -136,5
-0,141 -134,5
-0,1215 -128
-0,1155 -123,5
-0,1095 -121
-0,108 -119
-0,1035 -116,5
-0,1005 -115,5
-0,0945 -112,5
-0,09 -110,5
-0,081 -106
-0,072 -101,5
-0,0675 -97,5
-0,054 -92,5
-0,051 -90
-0,039 -85
-0,0345 -83
-0,033 -81
-0,0285 -78
-0,024 -77
-0,0105 -71,5
-0,0105 -69,5
0 -66,5
0 -64,5
0 -63,5
0 -63,5
0 -63
-0,0015 -63
0,0015 -62,5
0 -62
0 -62,5
0 -62,5
0 -62,5
0,0015 -62,5
0 -62,5
0 -62,5
-0,0015 -62,5
0,0015 -62,5
0 -62,5
0 -62,5
-0,0015 -62
0 -62,5
0,0015 -62,5
0,0015 -62
0 -62,5
0 -62,5
0,0015 -62,5
0,0015 -62,5
0 -62
-0,0015 -62,5
0 -62
-0,0015 -62,5
0 -62,5
-0,0015 -62,5
0,0015 -62
0,0015 -62
-0,0015 -62,5
0,0015 -62,5
-0,0015 -62
0 -62
0 -62
0,0015 -62,5
0 -62,5
0 -62
0 -62,5
0 -62
-0,0015 -62
0 -62,5
0 -62,5
-0,0015 -62,5
-0,0015 -62,5
0 -62
0 -62
0 -62,5
0 -62
0,0015 -62
-0,0015 -62
0,0015 -62
0 -62,5
0,0015 -62,5
0 -62
