['[\'[\\\'[\\\\\\\'["[\\\\\\\\\\\\\\', '\'\\\'\\\\\\\'"\\\\\\\\\\\\\\\'B_er', '\'\\\'\\\\\\\'"\\\\\\\\\\\\\\\'I\\\\\\', '\'\\\'"\\\\\\\'err_I\\\\\\\']",', '\'"\\\'l_Fe\\\']",\',', '"\'err_l_Fe\']",', "'d']", 'err_d']
-1.6245 -0.0487 -630.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6320 -0.0490 -633.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6425 -0.0493 -635.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6515 -0.0495 -638.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6590 -0.0498 -641.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6665 -0.0500 -643.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6755 -0.0503 -646.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6830 -0.0505 -648.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6890 -0.0507 -650.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6935 -0.0508 -652.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.6950 -0.0508 -653.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7055 -0.0512 -655.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7130 -0.0514 -658.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7205 -0.0516 -660.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7310 -0.0519 -662.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7430 -0.0523 -666.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7520 -0.0526 -668.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7610 -0.0528 -671.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7685 -0.0531 -674.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7775 -0.0533 -676.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7850 -0.0535 -679.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7925 -0.0538 -681.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.7955 -0.0539 -682.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8000 -0.0540 -683.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8075 -0.0542 -686.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8150 -0.0544 -688.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8225 -0.0547 -690.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8300 -0.0549 -692.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -694.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8420 -0.0553 -696.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8390 -0.0552 -696.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -696.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -696.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8420 -0.0553 -696.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8390 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8390 -0.0552 -696.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -696.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8390 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -696.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8390 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8390 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8390 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8420 -0.0553 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8390 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8420 -0.0553 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8390 -0.0552 -696.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -696.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8390 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8390 -0.0552 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8405 -0.0552 -696.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8375 -0.0551 -696.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8420 -0.0553 -697.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8480 -0.0554 -697.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8510 -0.0555 -699.5000 0.5000 0.4770 0.0040 0.0020 0.0001
