MIN=0	-3	-1000	0	
MAX=320	3	1000	5	
SCALE=100	1	500	1	
DEC=1	3	0	3	
DEF="Zeit" t / s	"Strom" I_A1 / A	"Magn. Flussdichte" B_B1 / mT	"Frequenz" f / Hz	
26,801	-2,4075	-844,5	NAN	
26,901	-2,4075	-844	NAN	
27,001	-2,406	-843,5	NAN	
27,101	-2,4075	-846,5	NAN	
27,201	-2,4075	-846,5	NAN	
27,301	-2,406	-844,5	NAN	
27,401	-2,4075	-843	NAN	
27,501	-2,4075	-843	NAN	
27,601	-2,4075	-845,5	NAN	
27,701	-2,4075	-844,5	NAN	
27,801	-2,4195	-845,5	NAN	
27,901	-2,4255	-849	NAN	
28,001	-2,4525	-853,5	NAN	
28,101	-2,4825	-860	NAN	
28,201	-2,4885	-863,5	NAN	
28,301	-2,514	-868	NAN	
28,401	-2,5515	-873,5	NAN	
28,501	-2,5785	-877,5	NAN	
28,601	-2,598	-886	NAN	
28,701	-2,6175	-890	NAN	
28,801	-2,628	-889	NAN	
28,901	-2,649	-892,5	NAN	
29,001	-2,6655	-898,5	NAN	
29,101	-2,6835	-902	NAN	
29,201	-2,697	-906	NAN	
29,301	-2,6985	-905	NAN	
29,401	-2,7015	-908	NAN	
29,501	-2,7015	-907	NAN	
29,601	-2,703	-906,5	NAN	
29,701	-2,7045	-906	NAN	
29,801	-2,703	-909	NAN	
29,901	-2,706	-906,5	NAN	
30,001	-2,703	-908,5	NAN	
30,101	-2,703	-905,5	NAN	
30,201	-2,703	-906	NAN	
30,301	-2,706	-906	NAN	
30,401	-2,703	-906,5	NAN	
30,501	-2,706	-905,5	NAN	
30,601	-2,7045	-910	NAN	
30,701	-2,7045	-906	NAN	
30,801	-2,7045	-906,5	NAN	
30,901	-2,703	-909,5	NAN	
31,001	-2,703	-906	NAN	
31,101	-2,7045	-906	NAN	
31,201	-2,7045	-909,5	NAN	
31,301	-2,703	-910	NAN	
31,401	-2,7045	-906,5	NAN	
31,501	-2,703	-906	NAN	
31,601	-2,706	-906	NAN	
31,701	-2,7045	-910	NAN	
31,801	-2,706	-908	NAN	
31,901	-2,706	-910	NAN	
32,001	-2,7075	-908,5	NAN	
32,101	-2,724	-913	NAN	
32,201	-2,7435	-916,5	NAN	
32,301	-2,754	-918,5	NAN	
32,401	-2,769	-919,5	NAN	
32,501	-2,775	-918,5	NAN	
32,601	-2,7825	-923,5	NAN	
32,701	-2,79	-925,5	NAN	
32,801	-2,7975	-925,5	NAN	
32,901	-2,802	-928	NAN	
33,001	-2,8035	-929	NAN	
33,101	-2,802	-924,5	NAN	
33,201	-2,8035	-924	NAN	
33,301	-2,805	-929	NAN	
33,401	-2,805	-924,5	NAN	
33,501	-2,8035	-929,5	NAN	
33,601	-2,805	-927	NAN	
33,701	-2,805	-927	NAN	
33,801	-2,805	-926,5	NAN	
33,901	-2,805	-927	NAN	
34,001	-2,805	-924,5	NAN	
34,101	-2,8065	-927,5	NAN	
34,201	-2,8065	-925	NAN	
34,301	-2,805	-925,5	NAN	
34,401	-2,805	-929,5	NAN	
34,501	-2,805	-925	NAN	
34,601	-2,8035	-925,5	NAN	
34,701	-2,805	-926,5	NAN	
34,801	-2,805	-924,5	NAN	
34,901	-2,805	-929	NAN	
35,001	-2,805	-929,5	NAN	
35,101	-2,805	-929,5	NAN	
35,201	-2,805	-926	NAN	
35,301	-2,805	-925	NAN	
35,401	-2,805	-925,5	NAN	
35,501	-2,8065	-928,5	NAN	
35,601	-2,826	-928,5	NAN	
35,701	-2,844	-930	NAN	
35,801	-2,853	-934,5	NAN	
35,901	-2,8575	-938,5	NAN	
36,001	-2,8605	-935	NAN	
36,101	-2,865	-935	NAN	
36,201	-2,8755	-936,5	NAN	
36,301	-2,8845	-938,5	NAN	
36,401	-2,8965	-940	NAN	
36,501	-2,907	-947	NAN	
36,601	-2,9085	-944	NAN	
36,701	-2,91	-946,5	NAN	
36,801	-2,913	-946,5	NAN	
36,901	-2,916	-948,5	NAN	
37,001	-2,9385	-948	NAN	
37,101	-2,958	-953	NAN	
37,201	-2,9625	-952	NAN	
37,301	-2,973	-954	NAN	
37,401	-2,9805	-955,5	NAN	
37,501	-2,988	-959,5	NAN	
37,601	-2,9895	-958,5	NAN	
37,701	-2,982	-961,5	NAN	
37,801	-2,97	-960,5	NAN	
