['0', '-0,5', 'Null2']
-1.1805 -481.0000 0.0000
-1.2210 -494.0000 0.0000
-1.2540 -506.0000 0.0000
-1.2825 -516.0000 0.0000
-1.3020 -524.0000 0.0000
-1.3260 -532.0000 0.0000
-1.3500 -539.5000 0.0000
-1.3785 -548.5000 0.0000
-1.4025 -557.0000 0.0000
-1.4190 -563.5000 0.0000
-1.4295 -568.0000 0.0000
-1.4385 -571.0000 0.0000
-1.4430 -573.5000 0.0000
-1.4460 -575.0000 0.0000
-1.4565 -577.5000 0.0000
-1.4655 -580.0000 0.0000
-1.4760 -583.5000 0.0000
-1.4895 -587.5000 0.0000
-1.5000 -591.0000 0.0000
-1.5075 -594.0000 0.0000
-1.5270 -598.5000 0.0000
-1.5390 -602.5000 0.0000
-1.5510 -606.5000 0.0000
-1.5570 -610.0000 0.0000
-1.5675 -612.5000 0.0000
-1.5765 -615.5000 0.0000
-1.5855 -618.0000 0.0000
-1.5960 -621.0000 0.0000
-1.6035 -624.0000 0.0000
-1.6110 -626.0000 0.0000
-1.6155 -628.5000 0.0000
-1.6245 -630.5000 0.0000
-1.6320 -633.5000 0.0000
-1.6425 -635.0000 0.0000
-1.6515 -638.0000 0.0000
-1.6590 -641.0000 0.0000
-1.6665 -643.0000 0.0000
-1.6755 -646.0000 0.0000
-1.6830 -648.5000 0.0000
-1.6890 -650.5000 0.0000
-1.6935 -652.0000 0.0000
-1.6950 -653.0000 0.0000
-1.7055 -655.0000 0.0000
-1.7130 -658.0000 0.0000
-1.7205 -660.0000 0.0000
-1.7310 -662.5000 0.0000
-1.7430 -666.0000 0.0000
-1.7520 -668.5000 0.0000
-1.7610 -671.0000 0.0000
-1.7685 -674.0000 0.0000
-1.7775 -676.5000 0.0000
-1.7850 -679.0000 0.0000
-1.7925 -681.0000 0.0000
-1.7955 -682.5000 0.0000
-1.8000 -683.5000 0.0000
-1.8075 -686.0000 0.0000
-1.8150 -688.0000 0.0000
-1.8225 -690.5000 0.0000
-1.8300 -692.5000 0.0000
-1.8405 -694.5000 0.0000
-1.8420 -696.0000 0.0000
-1.8390 -696.5000 0.0000
-1.8405 -696.5000 0.0000
-1.8405 -696.5000 0.0000
-1.8405 -697.0000 0.0000
-1.8405 -697.0000 0.0000
-1.8420 -696.5000 0.0000
-1.8390 -697.0000 0.0000
-1.8405 -697.0000 0.0000
-1.8405 -697.0000 0.0000
-1.8405 -697.0000 0.0000
-1.8390 -696.5000 0.0000
-1.8405 -696.5000 0.0000
-1.8390 -697.0000 0.0000
-1.8405 -696.5000 0.0000
-1.8405 -697.0000 0.0000
-1.8405 -697.0000 0.0000
