#H err_H B err_B
1307938034.4239618778 52241037.3352752551 -392.0000000000 11.7600000000
1339635496.8846118450 53507082.8558028787 -401.5000000000 12.0450000000
1373001262.7319693565 54839762.3790687397 -411.5000000000 12.3450000000
1416376745.1259870529 56572245.7360612750 -424.5000000000 12.7350000000
1463088809.1361868382 58437997.0542387143 -438.5000000000 13.1550000000
1494786284.1754531860 59704042.5969121307 -448.0000000000 13.4400000000
1516474036.3787512779 60570284.2947859839 -454.5000000000 13.6350000000
1531488634.7836470604 61169990.0868993625 -459.0000000000 13.7700000000
1539830076.2454864979 61503159.9677158371 -461.5000000000 13.8450000000
1546503230.0438888073 61769695.8734762892 -463.5000000000 13.9050000000
1549839814.8047251701 61902963.8401976600 -464.5000000000 13.9350000000
1553176386.9869451523 62036231.7847732082 -465.5000000000 13.9650000000
1554844677.7950363159 62102865.7653656676 -466.0000000000 13.9800000000
1556512965.4584734440 62169499.7404216602 -466.5000000000 13.9950000000
1556512965.4584734440 62169499.7404216602 -466.5000000000 13.9950000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181249.9772562981 62236133.7099412233 -467.0000000000 14.0100000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181249.9772562981 62236133.7099412233 -467.0000000000 14.0100000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181249.9772562981 62236133.7099412233 -467.0000000000 14.0100000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1559849540.7853474617 62302767.6905336678 -467.5000000000 14.0250000000
1559849540.7853474617 62302767.6905336678 -467.5000000000 14.0250000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1559849543.9300017357 62302767.6960701272 -467.5000000000 14.0250000000
1558181249.9772562981 62236133.7099412233 -467.0000000000 14.0100000000
1559849543.9300017357 62302767.6960701272 -467.5000000000 14.0250000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181249.9772562981 62236133.7099412233 -467.0000000000 14.0100000000
1559849543.9300017357 62302767.6960701272 -467.5000000000 14.0250000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181249.9772562981 62236133.7099412233 -467.0000000000 14.0100000000
1559849540.7853474617 62302767.6905336678 -467.5000000000 14.0250000000
1559849540.7853474617 62302767.6905336678 -467.5000000000 14.0250000000
1559849543.9300017357 62302767.6960701272 -467.5000000000 14.0250000000
1559849543.9300017357 62302767.6960701272 -467.5000000000 14.0250000000
1559849543.9300017357 62302767.6960701272 -467.5000000000 14.0250000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1558181253.1219105721 62236133.7154776752 -467.0000000000 14.0100000000
1559849531.3513853550 62302767.6739243194 -467.5000000000 14.0250000000
1574864120.3223187923 62902473.4494283423 -472.0000000000 14.1600000000
1604893282.5409154892 64101884.9727541506 -481.0000000000 14.4300000000
1648268758.6456248760 65834368.3186737895 -494.0000000000 14.8200000000
1688307668.8574223518 67433583.7310907692 -506.0000000000 15.1800000000
1721673425.2708177567 68766263.2377472818 -516.0000000000 15.4800000000
1748366037.3197727203 69832406.8552526981 -524.0000000000 15.7200000000
1775058639.9347658157 70898550.4561487436 -532.0000000000 15.9600000000
1800082951.7416675091 71898060.0764523447 -539.5000000000 16.1850000000
1830112126.5388805866 73097471.6219239533 -548.5000000000 16.4550000000
1858473019.9619646072 74230249.2034124583 -557.0000000000 16.7100000000
1880160765.8759546280 75096490.8902134001 -563.5000000000 16.9050000000
1895175361.1361961365 75696196.6767903268 -568.0000000000 17.0400000000
1905185087.1168186665 76096000.5271263570 -571.0000000000 17.1300000000
