#['B', 'Null1', 'I', 'Null2']
-1.9245 0.0000 -718.5000 0.0000
-1.9320 0.0000 -721.0000 0.0000
-1.9380 0.0000 -723.0000 0.0000
-1.9410 0.0000 -724.0000 0.0000
-1.9575 0.0000 -727.5000 0.0000
-1.9755 0.0000 -732.5000 0.0000
-1.9905 0.0000 -737.0000 0.0000
-2.0040 0.0000 -740.0000 0.0000
-2.0160 0.0000 -743.0000 0.0000
-2.0370 0.0000 -749.0000 0.0000
-2.0475 0.0000 -752.5000 0.0000
-2.0505 0.0000 -754.0000 0.0000
-2.0535 0.0000 -755.0000 0.0000
-2.0565 0.0000 -756.0000 0.0000
-2.0565 0.0000 -757.0000 0.0000
-2.0580 0.0000 -757.0000 0.0000
-2.0595 0.0000 -757.0000 0.0000
-2.0595 0.0000 -757.5000 0.0000
-2.0580 0.0000 -757.5000 0.0000
-2.0565 0.0000 -757.0000 0.0000
-2.0565 0.0000 -757.5000 0.0000
-2.0595 0.0000 -757.5000 0.0000
-2.0565 0.0000 -757.5000 0.0000
-2.0595 0.0000 -757.5000 0.0000
-2.0580 0.0000 -757.5000 0.0000
-2.0595 0.0000 -757.5000 0.0000
-2.0580 0.0000 -757.0000 0.0000
-2.0610 0.0000 -757.5000 0.0000
-2.0580 0.0000 -757.5000 0.0000
-2.0565 0.0000 -757.5000 0.0000
-2.0580 0.0000 -757.5000 0.0000
-2.0580 0.0000 -757.5000 0.0000
-2.0580 0.0000 -757.5000 0.0000
-2.0595 0.0000 -758.0000 0.0000
-2.0580 0.0000 -757.5000 0.0000
-2.0595 0.0000 -757.5000 0.0000
-2.0595 0.0000 -757.5000 0.0000
-2.0595 0.0000 -757.5000 0.0000
-2.0610 0.0000 -757.5000 0.0000
-2.0865 0.0000 -761.5000 0.0000
-2.1255 0.0000 -770.5000 0.0000
-2.1525 0.0000 -777.5000 0.0000
-2.1690 0.0000 -783.5000 0.0000
-2.1765 0.0000 -787.5000 0.0000
-2.1900 0.0000 -790.0000 0.0000
-2.2035 0.0000 -794.0000 0.0000
-2.2170 0.0000 -795.5000 0.0000
-2.2275 0.0000 -800.5000 0.0000
-2.2395 0.0000 -801.5000 0.0000
-2.2515 0.0000 -806.0000 0.0000
-2.2725 0.0000 -810.5000 0.0000
-2.2935 0.0000 -815.0000 0.0000
-2.3040 0.0000 -817.0000 0.0000
-2.3190 0.0000 -820.0000 0.0000
-2.3280 0.0000 -825.0000 0.0000
-2.3370 0.0000 -827.5000 0.0000
-2.3475 0.0000 -830.0000 0.0000
-2.3595 0.0000 -833.5000 0.0000
-2.3730 0.0000 -837.0000 0.0000
-2.3835 0.0000 -838.5000 0.0000
-2.3880 0.0000 -840.0000 0.0000
-2.3955 0.0000 -841.0000 0.0000
-2.4105 0.0000 -844.5000 0.0000
-2.4075 0.0000 -846.5000 0.0000
-2.4075 0.0000 -845.5000 0.0000
-2.4090 0.0000 -844.5000 0.0000
-2.4075 0.0000 -846.5000 0.0000
-2.4075 0.0000 -844.5000 0.0000
-2.4075 0.0000 -844.0000 0.0000
-2.4060 0.0000 -845.5000 0.0000
-2.4090 0.0000 -844.0000 0.0000
-2.4090 0.0000 -844.0000 0.0000
-2.4075 0.0000 -846.5000 0.0000
-2.4075 0.0000 -846.5000 0.0000
-2.4075 0.0000 -845.5000 0.0000
-2.4075 0.0000 -844.0000 0.0000
-2.4075 0.0000 -846.0000 0.0000
-2.4075 0.0000 -846.5000 0.0000
-2.4075 0.0000 -844.5000 0.0000
-2.4075 0.0000 -844.0000 0.0000
-2.4060 0.0000 -843.5000 0.0000
-2.4075 0.0000 -846.5000 0.0000
-2.4075 0.0000 -846.5000 0.0000
-2.4060 0.0000 -844.5000 0.0000
-2.4075 0.0000 -843.0000 0.0000
-2.4075 0.0000 -843.0000 0.0000
-2.4075 0.0000 -845.5000 0.0000
-2.4075 0.0000 -844.5000 0.0000
-2.4195 0.0000 -845.5000 0.0000
-2.4255 0.0000 -849.0000 0.0000
-2.4525 0.0000 -853.5000 0.0000
-2.4825 0.0000 -860.0000 0.0000
-2.4885 0.0000 -863.5000 0.0000
-2.5140 0.0000 -868.0000 0.0000
-2.5515 0.0000 -873.5000 0.0000
-2.5785 0.0000 -877.5000 0.0000
-2.5980 0.0000 -886.0000 0.0000
-2.6175 0.0000 -890.0000 0.0000
-2.6280 0.0000 -889.0000 0.0000
-2.6490 0.0000 -892.5000 0.0000
-2.6655 0.0000 -898.5000 0.0000
-2.6835 0.0000 -902.0000 0.0000
-2.6970 0.0000 -906.0000 0.0000
-2.6985 0.0000 -905.0000 0.0000
-2.7015 0.0000 -908.0000 0.0000
-2.7015 0.0000 -907.0000 0.0000
-2.7030 0.0000 -906.5000 0.0000
-2.7045 0.0000 -906.0000 0.0000
-2.7030 0.0000 -909.0000 0.0000
-2.7060 0.0000 -906.5000 0.0000
-2.7030 0.0000 -908.5000 0.0000
-2.7030 0.0000 -905.5000 0.0000
-2.7030 0.0000 -906.0000 0.0000
-2.7060 0.0000 -906.0000 0.0000
-2.7030 0.0000 -906.5000 0.0000
-2.7060 0.0000 -905.5000 0.0000
-2.7045 0.0000 -910.0000 0.0000
-2.7045 0.0000 -906.0000 0.0000
-2.7045 0.0000 -906.5000 0.0000
-2.7030 0.0000 -909.5000 0.0000
-2.7030 0.0000 -906.0000 0.0000
-2.7045 0.0000 -906.0000 0.0000
-2.7045 0.0000 -909.5000 0.0000
-2.7030 0.0000 -910.0000 0.0000
-2.7045 0.0000 -906.5000 0.0000
-2.7030 0.0000 -906.0000 0.0000
-2.7060 0.0000 -906.0000 0.0000
-2.7045 0.0000 -910.0000 0.0000
-2.7060 0.0000 -908.0000 0.0000
-2.7060 0.0000 -910.0000 0.0000
-2.7075 0.0000 -908.5000 0.0000
-2.7240 0.0000 -913.0000 0.0000
-2.7435 0.0000 -916.5000 0.0000
-2.7540 0.0000 -918.5000 0.0000
-2.7690 0.0000 -919.5000 0.0000
-2.7750 0.0000 -918.5000 0.0000
-2.7825 0.0000 -923.5000 0.0000
-2.7900 0.0000 -925.5000 0.0000
-2.7975 0.0000 -925.5000 0.0000
-2.8020 0.0000 -928.0000 0.0000
-2.8035 0.0000 -929.0000 0.0000
-2.8020 0.0000 -924.5000 0.0000
-2.8035 0.0000 -924.0000 0.0000
-2.8050 0.0000 -929.0000 0.0000
-2.8050 0.0000 -924.5000 0.0000
-2.8035 0.0000 -929.5000 0.0000
-2.8050 0.0000 -927.0000 0.0000
-2.8050 0.0000 -927.0000 0.0000
-2.8050 0.0000 -926.5000 0.0000
-2.8050 0.0000 -927.0000 0.0000
-2.8050 0.0000 -924.5000 0.0000
-2.8065 0.0000 -927.5000 0.0000
-2.8065 0.0000 -925.0000 0.0000
-2.8050 0.0000 -925.5000 0.0000
-2.8050 0.0000 -929.5000 0.0000
-2.8050 0.0000 -925.0000 0.0000
-2.8035 0.0000 -925.5000 0.0000
-2.8050 0.0000 -926.5000 0.0000
-2.8050 0.0000 -924.5000 0.0000
-2.8050 0.0000 -929.0000 0.0000
-2.8050 0.0000 -929.5000 0.0000
-2.8050 0.0000 -929.5000 0.0000
-2.8050 0.0000 -926.0000 0.0000
-2.8050 0.0000 -925.0000 0.0000
-2.8050 0.0000 -925.5000 0.0000
-2.8065 0.0000 -928.5000 0.0000
-2.8260 0.0000 -928.5000 0.0000
-2.8440 0.0000 -930.0000 0.0000
-2.8530 0.0000 -934.5000 0.0000
-2.8575 0.0000 -938.5000 0.0000
-2.8605 0.0000 -935.0000 0.0000
-2.8650 0.0000 -935.0000 0.0000
-2.8755 0.0000 -936.5000 0.0000
-2.8845 0.0000 -938.5000 0.0000
-2.8965 0.0000 -940.0000 0.0000
-2.9070 0.0000 -947.0000 0.0000
-2.9085 0.0000 -944.0000 0.0000
-2.9100 0.0000 -946.5000 0.0000
-2.9130 0.0000 -946.5000 0.0000
-2.9160 0.0000 -948.5000 0.0000
-2.9385 0.0000 -948.0000 0.0000
-2.9580 0.0000 -953.0000 0.0000
-2.9625 0.0000 -952.0000 0.0000
-2.9730 0.0000 -954.0000 0.0000
-2.9805 0.0000 -955.5000 0.0000
-2.9880 0.0000 -959.5000 0.0000
-2.9895 0.0000 -958.5000 0.0000
-2.9820 0.0000 -961.5000 0.0000
-2.9700 0.0000 -960.5000 0.0000
-2.9535 0.0000 -955.0000 0.0000
-2.9250 0.0000 -953.5000 0.0000
-2.9235 0.0000 -951.5000 0.0000
-2.9265 0.0000 -953.5000 0.0000
-2.9310 0.0000 -952.0000 0.0000
-2.9340 0.0000 -952.5000 0.0000
-2.9325 0.0000 -957.5000 0.0000
-2.9325 0.0000 -954.5000 0.0000
-2.9340 0.0000 -953.0000 0.0000
-2.9340 0.0000 -957.5000 0.0000
-2.9340 0.0000 -955.0000 0.0000
-2.9340 0.0000 -955.5000 0.0000
-2.9355 0.0000 -954.5000 0.0000
-2.9265 0.0000 -957.0000 0.0000
-2.9010 0.0000 -951.5000 0.0000
-2.8770 0.0000 -952.5000 0.0000
-2.8575 0.0000 -945.5000 0.0000
-2.8425 0.0000 -948.5000 0.0000
-2.8260 0.0000 -946.5000 0.0000
-2.8080 0.0000 -944.5000 0.0000
-2.7930 0.0000 -942.0000 0.0000
-2.7720 0.0000 -937.5000 0.0000
-2.7540 0.0000 -935.0000 0.0000
-2.7420 0.0000 -938.5000 0.0000
-2.7330 0.0000 -937.5000 0.0000
-2.7105 0.0000 -933.0000 0.0000
-2.6835 0.0000 -927.5000 0.0000
-2.6625 0.0000 -926.5000 0.0000
-2.6340 0.0000 -925.5000 0.0000
-2.6145 0.0000 -921.5000 0.0000
-2.5980 0.0000 -915.5000 0.0000
-2.5785 0.0000 -913.0000 0.0000
-2.5590 0.0000 -913.0000 0.0000
-2.5455 0.0000 -912.5000 0.0000
-2.5275 0.0000 -906.5000 0.0000
-2.5140 0.0000 -906.0000 0.0000
-2.5080 0.0000 -906.0000 0.0000
-2.4990 0.0000 -902.5000 0.0000
-2.4795 0.0000 -902.5000 0.0000
-2.4525 0.0000 -896.5000 0.0000
-2.4390 0.0000 -892.5000 0.0000
-2.4255 0.0000 -889.5000 0.0000
-2.4150 0.0000 -887.5000 0.0000
-2.3955 0.0000 -889.0000 0.0000
-2.3760 0.0000 -885.0000 0.0000
-2.3580 0.0000 -881.5000 0.0000
-2.3370 0.0000 -873.5000 0.0000
-2.3205 0.0000 -871.0000 0.0000
-2.3025 0.0000 -868.0000 0.0000
-2.2860 0.0000 -867.0000 0.0000
-2.2635 0.0000 -864.5000 0.0000
-2.2470 0.0000 -860.5000 0.0000
-2.2305 0.0000 -855.5000 0.0000
-2.2215 0.0000 -855.0000 0.0000
-2.2125 0.0000 -852.0000 0.0000
-2.1960 0.0000 -850.0000 0.0000
-2.1795 0.0000 -846.5000 0.0000
-2.1600 0.0000 -841.5000 0.0000
-2.1405 0.0000 -839.0000 0.0000
-2.1255 0.0000 -832.5000 0.0000
-2.1150 0.0000 -831.0000 0.0000
-2.1030 0.0000 -829.0000 0.0000
-2.0835 0.0000 -825.5000 0.0000
-2.0685 0.0000 -821.5000 0.0000
-2.0400 0.0000 -816.5000 0.0000
-2.0325 0.0000 -811.0000 0.0000
-2.0205 0.0000 -808.5000 0.0000
-2.0085 0.0000 -805.0000 0.0000
-2.0010 0.0000 -803.0000 0.0000
-1.9845 0.0000 -800.5000 0.0000
-1.9635 0.0000 -796.0000 0.0000
-1.9470 0.0000 -793.0000 0.0000
-1.9275 0.0000 -786.5000 0.0000
-1.9125 0.0000 -782.5000 0.0000
-1.9005 0.0000 -779.5000 0.0000
-1.8870 0.0000 -777.0000 0.0000
-1.8765 0.0000 -774.0000 0.0000
-1.8690 0.0000 -771.0000 0.0000
-1.8555 0.0000 -768.5000 0.0000
-1.8345 0.0000 -764.5000 0.0000
-1.8180 0.0000 -759.0000 0.0000
-1.7850 0.0000 -752.5000 0.0000
-1.7520 0.0000 -744.0000 0.0000
-1.7325 0.0000 -737.5000 0.0000
-1.7100 0.0000 -731.0000 0.0000
-1.6950 0.0000 -726.5000 0.0000
-1.6785 0.0000 -721.0000 0.0000
-1.6800 0.0000 -719.5000 0.0000
-1.6725 0.0000 -718.0000 0.0000
-1.6725 0.0000 -717.0000 0.0000
-1.6665 0.0000 -715.5000 0.0000
-1.6215 0.0000 -707.5000 0.0000
-1.5570 0.0000 -692.5000 0.0000
-1.5180 0.0000 -679.0000 0.0000
-1.5105 0.0000 -672.5000 0.0000
-1.5090 0.0000 -670.5000 0.0000
-1.5015 0.0000 -668.5000 0.0000
-1.4895 0.0000 -665.5000 0.0000
-1.4625 0.0000 -659.0000 0.0000
-1.4385 0.0000 -652.0000 0.0000
-1.4145 0.0000 -645.0000 0.0000
-1.4010 0.0000 -639.5000 0.0000
-1.3905 0.0000 -636.0000 0.0000
-1.3815 0.0000 -632.5000 0.0000
-1.3665 0.0000 -628.5000 0.0000
-1.3575 0.0000 -624.5000 0.0000
-1.3485 0.0000 -621.5000 0.0000
-1.3395 0.0000 -619.0000 0.0000
