#I	err_I	B	err_B	l	err_l	d	err_d
-1.839	0.001	-696.5	20.895	0.477	0.004	0.002	0.00005
-1.8405	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.8405	0.001	-696.5	20.895	0.477	0.004	0.002	0.00005
-1.839	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.839	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.8405	0.001	-696.5	20.895	0.477	0.004	0.002	0.00005
-1.8375	0.001	-696.5	20.895	0.477	0.004	0.002	0.00005
-1.842	0.001	-697	20.91	0.477	0.004	0.002	0.00005
-1.848	0.001	-697.5	20.925	0.477	0.004	0.002	0.00005
-1.851	0.001	-699.5	20.985	0.477	0.004	0.002	0.00005
-1.8615	0.001	-701.5	21.045	0.477	0.004	0.002	0.00005
-1.8735	0.001	-704	21.12	0.477	0.004	0.002	0.00005
-1.8885	0.001	-708	21.24	0.477	0.004	0.002	0.00005
-1.914	0.001	-714.5	21.435	0.477	0.004	0.002	0.00005
-1.9245	0.001	-718.5	21.555	0.477	0.004	0.002	0.00005
-1.932	0.001	-721	21.63	0.477	0.004	0.002	0.00005
-1.938	0.001	-723	21.69	0.477	0.004	0.002	0.00005
-1.941	0.001	-724	21.72	0.477	0.004	0.002	0.00005
-1.9575	0.001	-727.5	21.825	0.477	0.004	0.002	0.00005
-1.9755	0.001	-732.5	21.975	0.477	0.004	0.002	0.00005
-1.9905	0.001	-737	22.11	0.477	0.004	0.002	0.00005
-2.004	0.001	-740	22.2	0.477	0.004	0.002	0.00005
-2.016	0.001	-743	22.29	0.477	0.004	0.002	0.00005
-2.037	0.001	-749	22.47	0.477	0.004	0.002	0.00005
-2.0475	0.001	-752.5	22.575	0.477	0.004	0.002	0.00005
-2.0505	0.001	-754	22.62	0.477	0.004	0.002	0.00005
-2.0535	0.001	-755	22.65	0.477	0.004	0.002	0.00005
-2.0565	0.001	-756	22.68	0.477	0.004	0.002	0.00005
-2.0565	0.001	-757	22.71	0.477	0.004	0.002	0.00005
-2.058	0.001	-757	22.71	0.477	0.004	0.002	0.00005
-2.0595	0.001	-757	22.71	0.477	0.004	0.002	0.00005
-2.0595	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.058	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.0565	0.001	-757	22.71	0.477	0.004	0.002	0.00005
-2.0565	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.0595	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.0565	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.0595	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.058	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.0595	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.058	0.001	-757	22.71	0.477	0.004	0.002	0.00005
-2.061	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.058	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.0565	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.058	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.058	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.058	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.0595	0.001	-758	22.74	0.477	0.004	0.002	0.00005
-2.058	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.0595	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.0595	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.0595	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.061	0.001	-757.5	22.725	0.477	0.004	0.002	0.00005
-2.0865	0.001	-761.5	22.845	0.477	0.004	0.002	0.00005
-2.1255	0.001	-770.5	23.115	0.477	0.004	0.002	0.00005
-2.1525	0.001	-777.5	23.325	0.477	0.004	0.002	0.00005
-2.169	0.001	-783.5	23.505	0.477	0.004	0.002	0.00005
-2.1765	0.001	-787.5	23.625	0.477	0.004	0.002	0.00005
-2.19	0.001	-790	23.7	0.477	0.004	0.002	0.00005
-2.2035	0.001	-794	23.82	0.477	0.004	0.002	0.00005
-2.217	0.001	-795.5	23.865	0.477	0.004	0.002	0.00005
-2.2275	0.001	-800.5	24.015	0.477	0.004	0.002	0.00005
-2.2395	0.001	-801.5	24.045	0.477	0.004	0.002	0.00005
-2.2515	0.001	-806	24.18	0.477	0.004	0.002	0.00005
-2.2725	0.001	-810.5	24.315	0.477	0.004	0.002	0.00005
-2.2935	0.001	-815	24.45	0.477	0.004	0.002	0.00005
-2.304	0.001	-817	24.51	0.477	0.004	0.002	0.00005
-2.319	0.001	-820	24.6	0.477	0.004	0.002	0.00005
-2.328	0.001	-825	24.75	0.477	0.004	0.002	0.00005
-2.337	0.001	-827.5	24.825	0.477	0.004	0.002	0.00005
-2.3475	0.001	-830	24.9	0.477	0.004	0.002	0.00005
-2.3595	0.001	-833.5	25.005	0.477	0.004	0.002	0.00005
-2.373	0.001	-837	25.11	0.477	0.004	0.002	0.00005
-2.3835	0.001	-838.5	25.155	0.477	0.004	0.002	0.00005
-2.388	0.001	-840	25.2	0.477	0.004	0.002	0.00005
-2.3955	0.001	-841	25.23	0.477	0.004	0.002	0.00005
-2.4105	0.001	-844.5	25.335	0.477	0.004	0.002	0.00005
-2.4075	0.001	-846.5	25.395	0.477	0.004	0.002	0.00005
-2.4075	0.001	-845.5	25.365	0.477	0.004	0.002	0.00005
-2.409	0.001	-844.5	25.335	0.477	0.004	0.002	0.00005
-2.4075	0.001	-846.5	25.395	0.477	0.004	0.002	0.00005
-2.4075	0.001	-844.5	25.335	0.477	0.004	0.002	0.00005
-2.4075	0.001	-844	25.32	0.477	0.004	0.002	0.00005
-2.406	0.001	-845.5	25.365	0.477	0.004	0.002	0.00005
-2.409	0.001	-844	25.32	0.477	0.004	0.002	0.00005
-2.409	0.001	-844	25.32	0.477	0.004	0.002	0.00005
-2.4075	0.001	-846.5	25.395	0.477	0.004	0.002	0.00005
-2.4075	0.001	-846.5	25.395	0.477	0.004	0.002	0.00005
-2.4075	0.001	-845.5	25.365	0.477	0.004	0.002	0.00005
-2.4075	0.001	-844	25.32	0.477	0.004	0.002	0.00005
-2.4075	0.001	-846	25.38	0.477	0.004	0.002	0.00005
-2.4075	0.001	-846.5	25.395	0.477	0.004	0.002	0.00005
-2.4075	0.001	-844.5	25.335	0.477	0.004	0.002	0.00005
-2.4075	0.001	-844	25.32	0.477	0.004	0.002	0.00005
-2.406	0.001	-843.5	25.305	0.477	0.004	0.002	0.00005
-2.4075	0.001	-846.5	25.395	0.477	0.004	0.002	0.00005
-2.4075	0.001	-846.5	25.395	0.477	0.004	0.002	0.00005
-2.406	0.001	-844.5	25.335	0.477	0.004	0.002	0.00005
-2.4075	0.001	-843	25.29	0.477	0.004	0.002	0.00005
-2.4075	0.001	-843	25.29	0.477	0.004	0.002	0.00005
-2.4075	0.001	-845.5	25.365	0.477	0.004	0.002	0.00005
-2.4075	0.001	-844.5	25.335	0.477	0.004	0.002	0.00005
-2.4195	0.001	-845.5	25.365	0.477	0.004	0.002	0.00005
-2.4255	0.001	-849	25.47	0.477	0.004	0.002	0.00005
-2.4525	0.001	-853.5	25.605	0.477	0.004	0.002	0.00005
-2.4825	0.001	-860	25.8	0.477	0.004	0.002	0.00005
-2.4885	0.001	-863.5	25.905	0.477	0.004	0.002	0.00005
-2.514	0.001	-868	26.04	0.477	0.004	0.002	0.00005
-2.5515	0.001	-873.5	26.205	0.477	0.004	0.002	0.00005
-2.5785	0.001	-877.5	26.325	0.477	0.004	0.002	0.00005
-2.598	0.001	-886	26.58	0.477	0.004	0.002	0.00005
-2.6175	0.001	-890	26.7	0.477	0.004	0.002	0.00005
-2.628	0.001	-889	26.67	0.477	0.004	0.002	0.00005
-2.649	0.001	-892.5	26.775	0.477	0.004	0.002	0.00005
-2.6655	0.001	-898.5	26.955	0.477	0.004	0.002	0.00005
-2.6835	0.001	-902	27.06	0.477	0.004	0.002	0.00005
-2.697	0.001	-906	27.18	0.477	0.004	0.002	0.00005
-2.6985	0.001	-905	27.15	0.477	0.004	0.002	0.00005
-2.7015	0.001	-908	27.24	0.477	0.004	0.002	0.00005
-2.7015	0.001	-907	27.21	0.477	0.004	0.002	0.00005
-2.703	0.001	-906.5	27.195	0.477	0.004	0.002	0.00005
