#H_Fe[T] err_H_Fe[T] B[mT] err_B[mT]
-5830 110 -692 20.76
-5540 100 -671.5 20.145
-5340 100 -653 19.59
-5190 100 -639 19.17
-4990 100 -622 18.66
-4820 90 -606 18.18
-4660 90 -590.5 17.715
-4490 90 -575.5 17.265
-4310 80 -557.5 16.725
-4170 80 -542 16.26
-4050 80 -529.5 15.885
-3960 80 -519.5 15.585
-3850 80 -509 15.27
-3730 70 -496.5 14.895
-3630 70 -486 14.58
-3520 70 -474 14.22
-3380 70 -460.5 13.815
-3220 70 -444 13.32
-3050 60 -426 12.78
-2900 60 -408.5 12.255
-2760 60 -392 11.76
-2600 60 -375 11.25
-2450 50 -357 10.71
-2270 50 -336 10.08
-2090 50 -314.5 9.435
-1880 40 -289.5 8.685
-1690 40 -265.5 7.965
-1500 30 -241 7.23
-1320 30 -217 6.51
-1090 30 -189.5 5.685
-824 22 -155.5 4.665
-545 16 -120 3.6
-317 12 -89.5 2.685
-249 10 -74.5 2.235
-235 9 -69.5 2.085
-227 9 -67 2.01
-219 9 -65.5 1.965
-215 9 -64.5 1.935
-210 9 -64 1.92
-214 9 -64 1.92
-212 8 -63.5 1.905
-210 8 -63 1.89
-207 8 -63 1.89
-210 8 -63 1.89
-210 8 -63 1.89
-209 8 -62.5 1.875
-210 8 -63 1.89
-210 8 -63 1.89
-207 8 -63 1.89
-209 8 -62.5 1.875
-205 8 -62.5 1.875
-209 8 -62.5 1.875
-209 8 -62.5 1.875
-213 8 -63 1.89
-210 8 -63 1.89
-212 8 -62.5 1.875
-210 8 -63 1.89
-210 8 -63 1.89
-207 8 -63 1.89
-209 8 -62.5 1.875
-212 8 -62.5 1.875
-213 8 -63 1.89
-209 8 -62.5 1.875
-209 8 -62.5 1.875
-86 7 -55 1.65
186 4 -24.5 0.735
589 8 23 0.69
891 13 62.5 1.875
1078 17 89.5 2.685
1189 19 106.5 3.195
1318 21 122.5 3.675
1467 24 141 4.23
1590 30 157.5 4.725
1750 30 177 5.31
1930 30 198.5 5.955
2140 40 223 6.69
2380 40 251.5 7.545
2580 50 277.5 8.325
2780 50 300.5 9.015
3030 50 330 9.9
3290 60 359.5 10.785
3470 60 384 11.52
3610 60 402 12.06
3770 70 421 12.63
3910 70 439 13.17
4110 70 460 13.8
4310 80 482 14.46
4550 80 506.5 15.195
4770 90 531.5 15.945
5010 90 556 16.68
5220 90 579 17.37
5420 100 601 18.03
5620 100 621.5 18.645
5850 100 643 19.29
6070 110 665 19.95
6250 110 683 20.49
6420 110 700.5 21.015
6500 120 711.5 21.345
6560 120 718 21.54
6590 120 722 21.66
6610 120 725 21.75
6630 120 726.5 21.795
6630 120 728 21.84
6640 120 728.5 21.855
6650 120 729 21.87
6650 120 729.5 21.885
6640 120 729.5 21.885
6650 120 729.5 21.885
6650 120 730 21.9
6660 120 730 21.9
6660 120 730 21.9
6650 120 730 21.9
6650 120 730.5 21.915
6670 120 731 21.93
6660 120 731 21.93
6660 120 731 21.93
6660 120 731 21.93
6670 120 731 21.93
6660 120 731 21.93
6670 120 731.5 21.945
6670 120 731.5 21.945
6670 120 731.5 21.945
6670 120 731.5 21.945
6660 120 731.5 21.945
6670 120 731.5 21.945
6670 120 731.5 21.945
6660 120 731.5 21.945
6660 120 731 21.93
6660 120 731 21.93
6570 120 728 21.84
6370 110 719 21.57
6110 110 704 21.12
5820 110 684 20.52
5730 110 674.5 20.235
5650 100 667.5 20.025
5520 100 658.5 19.755
5390 100 648 19.44
5270 100 637.5 19.125
5080 100 622 18.66
4880 90 605 18.15
4700 90 588 17.64
4550 90 573.5 17.205
4350 80 555.5 16.665
4180 80 537.5 16.125
4060 80 524.5 15.735
3900 80 509.5 15.285
3660 70 486 14.58
3420 70 461 13.83
3290 70 445.5 13.365
3160 60 430.5 12.915
2950 60 409 12.27
2810 60 391.5 11.745
2740 60 382 11.46
2560 50 364 10.92
2340 50 339 10.17
2150 50 315 9.45
1980 40 294.5 8.835
1840 40 276 8.28
1690 40 257 7.71
1490 30 233 6.99
1370 30 216.5 6.495
1240 30 199 5.97
1060 30 177.5 5.325
863 21 152 4.56
768 19 137 4.11
701 18 128 3.84
606 16 116.5 3.495
531 15 105.5 3.165
487 14 98 2.94
396 12 87.5 2.625
320 10 77 2.31
260 9 69.5 2.085
202 8 60.5 1.815
200 8 58 1.74
189 8 56.5 1.695
187 7 56 1.68
187 7 55 1.65
184 7 55 1.65
185 7 54.5 1.635
182 7 54.5 1.635
183 7 54 1.62
180 7 54 1.62
185 7 54.5 1.635
180 7 54 1.62
180 7 54 1.62
183 7 54 1.62
180 7 54 1.62
180 7 54 1.62
180 7 54 1.62
183 7 54 1.62
180 7 54 1.62
183 7 54 1.62
177 7 54 1.62
177 7 54 1.62
180 7 54 1.62
180 7 54 1.62
183 7 54 1.62
177 7 54 1.62
-2 5 37 1.11
-146 3 18.5 0.555
-310 4 -1.5 0.045
-751 11 -48 1.44
-1111 18 -97.5 2.925
-1154 19 -112 3.36
-1194 20 -119.5 3.585
-1249 21 -126.5 3.795
-1349 23 -136.5 4.095
-1520 30 -154.5 4.635
-1690 30 -175.5 5.265
-1920 30 -202 6.06
-2170 40 -232 6.96
-2450 40 -264.5 7.935
-2720 50 -296.5 8.895
-3030 50 -332.5 9.975
-3330 60 -367.5 11.025
-3590 60 -399.5 11.985
-3810 70 -427 12.81
-4050 70 -454 13.62
-4330 80 -485 14.55
-4610 80 -515 15.45
-4870 90 -545 16.35
-5180 90 -576 17.28
-5510 100 -609.5 18.285
-5800 100 -640.5 19.215
-6120 110 -671 20.13
-6370 110 -697.5 20.925
-6490 120 -713.5 21.405
-6580 120 -724.5 21.735
-6640 120 -731.5 21.945
-6670 120 -735.5 22.065
-6700 120 -739 22.17
-6710 120 -741 22.23
-6720 120 -742 22.26
-6730 120 -742.5 22.275
-6730 120 -743 22.29
-6740 120 -743.5 22.305
-6740 120 -744 22.32
-6740 120 -744 22.32
-6740 120 -744 22.32
-6740 120 -744.5 22.335
-6740 120 -744.5 22.335
-6750 120 -744.5 22.335
-6740 120 -744 22.32
-6750 120 -744.5 22.335
-6750 120 -744.5 22.335
-6740 120 -744.5 22.335
-6740 120 -744.5 22.335
-6740 120 -744.5 22.335
-6740 120 -744.5 22.335
-6740 120 -744.5 22.335
-6730 120 -744 22.32
-6630 120 -741.5 22.245
-6300 110 -724.5 21.735
-5950 110 -703 21.09
-5500 100 -671 20.13
-5050 100 -634 19.02
-4680 90 -599 17.97
-4390 90 -569.5 17.085
-4120 80 -542 16.26
-3820 80 -512.5 15.375
-3540 70 -483 14.49
-3200 70 -447.5 13.425
-2910 60 -414.5 12.435
-2590 60 -378 11.34
-2240 50 -337.5 10.125
-1890 40 -294 8.82
-1450 30 -241 7.23
-951 25 -178.5 5.355
-596 18 -130.5 3.915
-352 13 -96 2.88
-259 10 -77.5 2.325
-227 9 -70 2.1
-216 9 -66.5 1.995
-210 9 -64 1.92
-214 9 -64 1.92
-210 8 -63 1.89
-202 8 -62.5 1.875
-204 8 -62 1.86
-207 8 -62 1.86
-205 8 -61.5 1.845
-205 8 -61.5 1.845
-205 8 -61.5 1.845
-205 8 -61.5 1.845
-205 8 -61.5 1.845
-205 8 -61.5 1.845
-202 8 -61.5 1.845
-208 8 -61.5 1.845
-205 8 -61.5 1.845
-204 8 -61 1.83
-211 8 -61.5 1.845
-205 8 -61.5 1.845
-205 8 -61.5 1.845
-204 8 -61 1.83
-204 8 -61 1.83
-200 8 -61 1.83
-207 8 -61 1.83
-204 8 -61 1.83
-204 8 -61 1.83
-204 8 -61 1.83
-207 8 -61 1.83
-200 8 -61 1.83
-204 8 -61 1.83
-208 8 -61.5 1.845
-204 8 -61 1.83
47 6 -41.5 1.245
319 4 -8 0.24
668 9 33.5 1.005
1071 16 81.5 2.445
1481 24 131 3.93
1860 30 178 5.34
2240 40 224 6.72
2630 40 270.5 8.115
3010 50 316.5 9.495
3330 60 357 10.71
3640 60 393.5 11.805
3920 70 428 12.84
4280 80 466.5 13.995
4670 80 508.5 15.255
5100 90 552.5 16.575
5600 100 602.5 18.075
6010 110 647 19.41
6240 110 676.5 20.295
6380 110 695 20.85
6470 110 707 21.21
6530 120 715 21.45
6580 120 720.5 21.615
6600 120 723.5 21.705
6620 120 726 21.78
6630 120 727.5 21.825
6640 120 728.5 21.855
6650 120 729.5 21.885
6660 120 730.5 21.915
6650 120 730.5 21.915
6650 120 730 21.9
6650 120 730 21.9
6650 120 730 21.9
6650 120 730 21.9
6660 120 730 21.9
6650 120 730.5 21.915
6650 120 730.5 21.915
6610 120 728 21.84
6660 120 730.5 21.915
6670 120 731.5 21.945
6680 120 732 21.96
6680 120 732 21.96
6680 120 732.5 21.975
6680 120 732.5 21.975
6680 120 733 21.99
6680 120 732.5 21.975
6680 120 733 21.99
6690 120 733 21.99
